,passed_in_property,price_in_auction,price_from_on_the_house
0,11 Shamrock Street Abbotsford,0,$435k
1,19 The Circle Altona North,780000,$805k
2,75 Bellinghams Hill Road Ararat,0,$440k
3,18 Mill Street Aspendale,790000,$990k
4,262 Belmore Road Balwyn,0,$2.0m
5,9 Summerhill Road Beaumaris,0,$1.3m
6,20 Vunabere Avenue Bentleigh,0,$1.7m
7,65 Arkaringa Crescent Black Rock,0,$1.7m
8,341 Beach Road Black Rock,0,0
9,102 Main Street Blackburn,0,0
10,15A Foote Street Brighton,0,$1.6m
11,4 London Road Broadmeadows,640000,$615k
12,221 Widford Street Broadmeadows,0,0
13,288 Albert Street Brunswick,0,$545k
14,49 Burnell Street Brunswick West,0,$1.1m
15,26 Carbeen Drive Bundoora,0,0
16,147 Plenty Road Bundoora,0,0
17,147 Highbury Road Burwood,0,$625k
18,17 Hazel Street Camberwell,0,$790k
19,14 Hollsmoor Road Camberwell,0,$1.6m
20,14 Roebourne Crescent Campbellfield,600000,$615k
21,2a Marlowe Street Canterbury,0,$1.8m
22,2 Belsize Avenue Carnegie,0,$560k
23,3 Stanley Avenue Cheltenham,0,$750k
24,23 Spensley Street Clifton Hill,0,$2.3m
25,3 Nattai Street Craigieburn,525000,$500k
26,47 Rosemary Avenue Croydon Hills,810000,$815k
27,16-18 Alice Street Croydon North,500000,$755k
28,13 Glen View Cl Diamond Creek,750000,$750k
29,29 Bainbridge Drive Eltham,0,0
30,24 Dobell Drive Eltham,0,$1.0m
31,59 Sydney Parkinson Avenue Endeavour Hills,0,$650k
32,10 Shirley Street Fawkner,815000,$780k
33,4 Townsend Avenue Gladstone Park,655000,$645k
34,3 Lyell Pde Greensborough,0,0
35,50 Grove Road Hawthorn,0,$590k
36,5 Pacific Drive Heidelberg West,401000,$510k
37,6 Dart Street Highett,0,$580k
38,30 Mount View Road Highett,0,$860k
39,17 Shoubra Drive Highton,0,$385k
40,83 Noga Avenue Keilor East,850000,$780k
41,202 Street Aidans Road Kennington,0,$165k
42,1 Meldrum Street Kew East,0,0
43,417 Chandler Road Keysborough,720000,$630k
44,14 Wavell Avenue Kilsyth,0,$975k
45,131 Wales Street Kingsville,0,$1.0m
46,9 Glen Fair Way Leopold,765000,$715k
47,30 Shaftesbury Avenue Malvern,0,$1.9m
48,48 Lascelles Avenue Manifold Heights,0,$730k
49,3 Merton Gr Manifold Heights,470000,$295k
50,5 Inglewood Court Mill Park,0,0
51,17 Carween Avenue Mitcham,0,0
52,36 Quarry Road Mitcham,850000,$855k
53,27 Bennett Avenue Mount Waverley,0,$1.2m
54,42 Damon Road Mount Waverley,0,$1.4m
55,27 Jacqueline Road Mount Waverley,0,$1.4m
56,115 Lawrence Road Mount Waverley,0,$1.4m
57,26-28 Curzon Street North Melbourne,0,$1.2m
58,66a Devereaux Street Oak Park,0,$1.2m
59,99 Dow Street Port Melbourne,0,$495k
60,10A Barton Street Reservoir,780000,$760k
61,6b Bryan Street Reservoir,720000,$640k
62,43 Gertz Avenue Reservoir,810000,$790k
63,30 Johnson Street Reservoir,500000,0
64,4 Keely Street Reservoir,0,$740k
65,5 Grandview Avenue Ringwood East,0,$1.2m
66,34 Dawnview Crescent Roxburgh Park,840000,0
67,5 Seaford Road Seaford,0,0
68,1 Osborne Street Skipton,200000,0
69,1157 Frankston-Flinders Road Somerville,0,$705k
70,309 Jones Road Somerville,780000,0
